id,carpeta,referencia,nombre,categoria,subcategoria,imagen_principal,n_imagenes,vista360,enlace
3380,"3380_AG-01__Agarradera_en_Polietileno_para","AG-01","Agarradera en Polietileno para botilito","MUGS, BOTILITOS, VASOS Y TERMOS","Botilitos Tritan y Policarbonato","principal.jpg",1,"https://catalogospromocionales.com/images/v360/AG-01/index.html?V=6","https://www.catalogospromocionales.com/p/Agarradera-en-Polietileno/13405/347"
3381,"3381_VA-126__Mug_Cer_mica_Cuadrado_10_Oz","VA-126","Mug Cerámica Cuadrado 10 Oz","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Cerámica","principal.jpg",6,"https://catalogospromocionales.com/images/v360/VA-126/index.html?V=6","https://www.catalogospromocionales.com/p/mug-ceramica-cuadrado-10-oz/1591/348"
3382,"3382_MU-177__Mug_Ceramica_Ottis_11oz","MU-177","Mug Ceramica Ottis 11oz","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Cerámica","principal.jpg",8,"https://catalogospromocionales.com/images/v360/MU-177/index.html?V=6","https://www.catalogospromocionales.com/p/mug-ceramica-ottis-11oz/8421/348"
3383,"3383_MU-145__Mug_Cer_mica_Zenith_12oz","MU-145","Mug Cerámica Zenith 12oz","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Cerámica","principal.jpg",5,"https://catalogospromocionales.com/images/v360/MU-145/index.html?V=6","https://www.catalogospromocionales.com/p/Mug-Ceramica-Zenith-12oz/7874/348"
3384,"3384_MU-06__Mug_Cer_mica_Tablero_11oz_con_","MU-06","Mug Cerámica Tablero 11oz con Tiza","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Cerámica","principal.jpg",5,"https://catalogospromocionales.com/images/v360/MU-06/index.html?V=6","https://www.catalogospromocionales.com/p/mug-ceramica-tablero-11oz-con-tiza/4059/348"
3385,"3385_MU-106__Mug_Cer_mica_con_Cuchara_Trump","MU-106","Mug Cerámica con Cuchara Trump 10oz","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Cerámica","principal.jpg",6,"https://catalogospromocionales.com/images/v360/MU-106/index.html?V=6","https://www.catalogospromocionales.com/p/mug-ceramica-con-cuchara-trump-10oz/6822/348"
3386,"3386_MU-180__Mug_Met_lico_Peyton_470_ml","MU-180","Mug Metálico Peyton 470 ml","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Metálicos","principal.jpg",3,"https://catalogospromocionales.com/images/v360/MU-180/index.html?V=6","https://www.catalogospromocionales.com/p/Mug-Metalico-Peyton-470-ml/8667/349"
3387,"3387_MU-161__Mug_Met_lico_Galileo_16_oz","MU-161","Mug Metálico Galileo 16 oz","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Metálicos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/MU-161/index.html?V=6","https://www.catalogospromocionales.com/p/Mug-Metalico-Galileo-16oz/8060/349"
3388,"3388_VA-97__Mug_Doble_Pared_en_Acero_II_16","VA-97","Mug Doble Pared en Acero II - 16 Oz.","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Metálicos","principal.jpg",3,"https://catalogospromocionales.com/images/v360/VA-97/index.html?V=6","https://www.catalogospromocionales.com/p/mug-doble-pared-en-acero-ii-16oz/1342/349"
3389,"3389_MU-112__Mug_Ceramica_Con_Corcho_11oz","MU-112","Mug Ceramica Con Corcho 11oz","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Cerámica","principal.jpg",3,"https://catalogospromocionales.com/images/v360/MU-112/index.html?V=6","https://www.catalogospromocionales.com/p/mug-ceramica-con-corcho-11-oz/7453/348"
3390,"3390_MU-237__Mug_Metalico_Mask_350ml","MU-237","Mug Metalico Mask 350ml","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Metálicos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/MU-237/index.html?V=6","https://www.catalogospromocionales.com/p/mug-metalico-mask-350ml/9018/349"
3391,"3391_MU-215__Mug_Metalico_Star_350ml","MU-215","Mug Metalico Star 350ml","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Metálicos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/MU-215/index.html?V=6","https://www.catalogospromocionales.com/p/mug-metalico-star-350ml/8986/349"
3392,"3392_MU-194__Mug_Met_lico_Moritz_450_ml","MU-194","Mug Metálico Moritz 450 ml","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Metálicos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/MU-194/index.html?V=6","https://www.catalogospromocionales.com/p/Mug-Metalico-Moritz-450-ml/8526/349"
3393,"3393_VA-271__Minimug_en_Acero_con_Tapa_180m","VA-271","Minimug en Acero con Tapa - 180ml","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Metálicos","principal.jpg",8,"https://catalogospromocionales.com/images/v360/VA-271/index.html?V=6","https://www.catalogospromocionales.com/p/minimug-en-acero-con-tapa-180ml/3481/349"
3394,"3394_MU-280__Mug_Met_lico_Warmer_450ml","MU-280","Mug Metálico Warmer 450ml","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Metálicos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/MU-280/index.html?V=6","https://www.catalogospromocionales.com/p/Mug-Metalico-Warmer-450ml/9707/349"
3395,"3395_MU-279__Mug_Met_lico_con_Bamboo_500ml","MU-279","Mug Metálico con Bamboo 500ml","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Metálicos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/MU-279/index.html?V=6","https://www.catalogospromocionales.com/p/mug-metalico-con-bamboo-500ml/9699/349"
3396,"3396_MU-238__Mug_Metalico_Slash_550ml","MU-238","Mug Metalico Slash 550ml","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Metálicos","principal.jpg",5,"https://catalogospromocionales.com/images/v360/MU-238/index.html?V=6","https://www.catalogospromocionales.com/p/mug-metalico-slash-550ml/9019/349"
3397,"3397_MU-162-1__Set_de_Mugs_con_Termo_Cascade","MU-162-1","Set de Mugs con Termo Cascade","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Metálicos","principal.jpg",3,"https://catalogospromocionales.com/images/v360/MU-162-1/index.html?V=6","https://www.catalogospromocionales.com/p/Set-de-Mugs-con-Termo-Cascade/8853/349"
3398,"3398_MU-310__Mug_Metalico_para_Sublimaci_n_","MU-310","Mug Metalico para Sublimación Mask 350ml","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Metálicos","principal.jpg",2,"https://catalogospromocionales.com/images/v360/MU-310/index.html?V=6","https://www.catalogospromocionales.com/p/Mug-Met%C3%A1lico-para-Sublimaci%C3%B3n-Mask-350ml/9973/349"
3399,"3399_MU-308__Mug_Met_lico_para_Sublimaci_n_","MU-308","Mug Metálico para Sublimación Galileo 450ml","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Metálicos","principal.jpg",3,"https://catalogospromocionales.com/images/v360/MU-308/index.html?V=6","https://www.catalogospromocionales.com/p/Mug-Met%C3%A1lico-para-Sublimaci%C3%B3n-Galileo-450ml/9969/349"
3400,"3400_MU-282__Mug_Met_lico_Doble_Pared_Coffe","MU-282","Mug Metálico Doble Pared Coffee Urban Travel 380ml","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Metálicos","principal.jpg",6,"https://catalogospromocionales.com/images/v360/MU-282/index.html?V=6","https://www.catalogospromocionales.com/p/Mug-Metalico-Doble-Pared-Coffee-Urban-Travel-380ml/9766/349"
3401,"3401_MU-194-1__Mug_Metalico_Quest_450ml","MU-194-1","Mug Metalico Quest 450ml","MUGS, BOTILITOS, VASOS Y TERMOS","Mug Metálicos","principal.jpg",4,"https://catalogospromocionales.com/images/v360/MU-194-1/index.html?V=6","https://www.catalogospromocionales.com/p/mug-metalico-quest-450ml/9389/349"
